company,env_score,soc_score,gov_score,total_score,controversy_lvl
WTRG,6.8,11.4,6.4,24.6,1
WTW,0.1,7.8,10.8,18.7,2
WU,4.4,6.0,4.9,15.3,1
WY,9.1,4.2,3.5,16.7,2
WYNN,3.4,11.8,10.6,25.7,2
X,14.5,9.7,6.2,30.4,3
XEL,12.7,9.3,4.5,26.5,2
XOM,23.1,10.0,8.5,41.6,3
XRAY,2.1,6.5,6.3,14.9,1
XYL,4.3,8.7,5.2,18.1,1
YUM,4.5,11.4,4.1,20.1,2
Z,1.2,11.5,9.5,22.2,2
ZBH,3.6,14.5,7.9,26.0,2
ZTS,3.2,6.8,8.7,18.8,2
